ts,Close,Low,High,Open,Volume
2021-01-05 09:19:00,11.7,11.7,11.7,11.7,24
2021-01-05 09:20:00,11.65,11.65,11.7,11.65,40
2021-01-05 09:21:00,11.6,11.6,11.65,11.65,300
2021-01-05 09:22:00,11.6,11.6,11.65,11.65,16
2021-01-05 09:23:00,11.6,11.6,11.65,11.65,20
2021-01-05 09:24:00,11.65,11.6,11.65,11.65,39
2021-01-05 09:25:00,11.65,11.6,11.65,11.65,30
2021-01-05 09:26:00,11.6,11.6,11.65,11.65,97
2021-01-05 09:27:00,11.65,11.6,11.65,11.6,44
2021-01-05 09:28:00,11.6,11.6,11.65,11.6,266
2021-01-05 09:29:00,11.6,11.6,11.6,11.6,33
2021-01-05 09:30:00,11.6,11.6,11.6,11.6,84
2021-01-05 09:31:00,11.6,11.6,11.6,11.6,56
2021-01-05 09:32:00,11.6,11.6,11.65,11.6,50
2021-01-05 09:33:00,11.6,11.6,11.6,11.6,40
2021-01-05 09:34:00,11.6,11.6,11.65,11.6,18
2021-01-05 09:35:00,11.6,11.55,11.6,11.6,114
2021-01-05 09:36:00,11.55,11.5,11.6,11.6,209
2021-01-05 09:37:00,11.5,11.5,11.55,11.5,213
2021-01-05 09:38:00,11.5,11.5,11.55,11.5,110
2021-01-05 09:39:00,11.5,11.5,11.55,11.5,152
2021-01-05 09:40:00,11.55,11.5,11.55,11.5,146
2021-01-05 09:41:00,11.5,11.5,11.5,11.5,60
2021-01-05 09:42:00,11.5,11.45,11.5,11.5,115
2021-01-05 09:43:00,11.5,11.45,11.5,11.45,83
2021-01-05 09:44:00,11.5,11.45,11.5,11.5,41
2021-01-05 09:45:00,11.5,11.45,11.5,11.5,29
2021-01-05 09:46:00,11.5,11.5,11.55,11.5,65
2021-01-05 09:47:00,11.5,11.5,11.55,11.5,39
2021-01-05 09:48:00,11.5,11.5,11.5,11.5,20
2021-01-05 09:49:00,11.5,11.5,11.55,11.5,24
2021-01-05 09:50:00,11.5,11.5,11.5,11.5,25
2021-01-05 09:51:00,11.5,11.5,11.5,11.5,36
2021-01-05 09:52:00,11.55,11.5,11.55,11.5,22
2021-01-05 09:53:00,11.55,11.5,11.55,11.5,5
2021-01-05 09:54:00,11.55,11.55,11.55,11.55,190
2021-01-05 09:55:00,11.55,11.55,11.55,11.55,22
2021-01-05 09:56:00,11.55,11.55,11.55,11.55,3
2021-01-05 09:57:00,11.6,11.55,11.6,11.55,7
2021-01-05 09:58:00,11.55,11.55,11.55,11.55,35
2021-01-05 09:59:00,11.5,11.5,11.5,11.5,7
2021-01-05 10:00:00,11.5,11.5,11.5,11.5,13
2021-01-05 10:01:00,11.5,11.5,11.55,11.5,32
2021-01-05 10:02:00,11.5,11.5,11.55,11.55,14
2021-01-05 10:03:00,11.55,11.5,11.55,11.55,22
2021-01-05 10:04:00,11.55,11.55,11.55,11.55,7
